0,1
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b06-110-s00-01.png,prefer unskilled jobs .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a02-072-s01-02.png,will take the rigours of prison in his stride .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c02-007-s01-00.png,An exhibition of these works which
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-091-s03-00.png,If - such
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g01-004-s00-02.png,who still believed that they had a monopoly of
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c04-066-s06-00.png,Play
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g07-069a-s00-07.png,book and was content for it to be
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m06-042-s02-01.png,change . '
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e01-086-s02-00.png,Oversew crochet to button stitch .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b01-044-s03-00.png,For upwards of five years the world's reserves of
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h04-082-s02-01.png,"expenditure increased less than that in other groups ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-037e-s02-02.png,effective alleviation of his painful malady .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e04-099-s02-01.png,"ply , plenty of material is left over for the thwarts ."
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l04-043-s03-00.png,"But there you are , the girl 's wild and"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p03-004-s01-03.png,to put St. John's Casualty Department
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-050j-s02-01.png,"that he found Anglesey a strong , energetic"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-047d-s00-01.png,Burdett described to Anglesey a year or two later as
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\j06-026-s00-04.png,may justly be considered anomalous .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-025-s00-02.png,Was this : That a secret plan Is hid in
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l07-074-s02-02.png,top of it .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g07-077a-s00-01.png,the poet's atrocious conduct as a husband
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\j06-005-s01-02.png,at the surface while the young migrate
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\j04-053-s01-03.png,convert the resin completely to the chloride form .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-003u-s00-02.png,Ps are likely to turn down the Foot-
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g07-003b-s02-04.png,Italian's expense .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e06-037-s01-04.png,few yards of netting .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f02-036-s00-07.png,arranging a Conference on Preparation for and
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l07-135-s00-02.png,Sandpiper was mine for three hundred and
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-045b-s00-08.png,"founder , the aged Dr. Samuel"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h06-003-s01-00.png,"However , the number of"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\k04-050-s02-02.png,"wish to marry ... but ... he , like myself , is now"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b01-000-s01-00.png,Will it end with
